trial,shared_buffers,work_mem,max_parallel_workers_per_gather,checkpoint_completion_target,effective_cache_size,tps,latency average,number of transactions actually processed,number of failed transactions
0,4GB,12MB,2,0.9812738571269783,20480MB,4145.861137,7.719,373074.0,0.0
1,16GB,36MB,2,0.8322602954229403,20480MB,4765.062533,6.716,428799.0,0.0
2,8GB,40MB,3,0.7283249130618513,20480MB,4839.800374,6.612,435440.0,0.0
3,8GB,60MB,1,0.981179542051722,20480MB,4756.676851,6.727,428038.0,0.0
4,2GB,8MB,7,0.8034584647411409,8192MB,4893.92192,6.539,440323.0,0.0
5,8GB,64MB,3,0.9236684005389242,4096MB,4843.429874,6.607,435831.0,0.0
6,8GB,24MB,7,0.8369423282969652,4096MB,4826.843993,6.63,434322.0,0.0
7,16GB,32MB,7,0.7911632345121347,16384MB,4837.172405,6.615,435245.0,0.0
8,2GB,16MB,3,0.9527235711544382,20480MB,4792.495973,6.677,431180.0,0.0
9,4GB,60MB,7,0.7020161178540453,16384MB,4781.440343,6.693,430230.0,0.0
10,2GB,4MB,5,0.894667970797138,8192MB,4819.572428,6.64,433676.0,0.0
11,2GB,48MB,0,0.8955076527075404,8192MB,4875.009819,6.564,438666.0,0.0
12,2GB,48MB,0,0.784749154995576,8192MB,4724.1321,6.774,425052.0,0.0
13,2GB,48MB,0,0.8825888961347343,12288MB,4833.975233,6.62,434954.0,0.0
14,2GB,48MB,0,0.7796006422519194,8192MB,4764.355409,6.717,428688.0,0.0
15,2GB,24MB,1,0.8709079069980435,12288MB,4710.854617,6.793,423941.0,0.0
16,2GB,8MB,5,0.8167278432788356,8192MB,4820.834279,6.638,433798.0,0.0
17,2GB,24MB,7,0.7537253244213844,4096MB,4734.450819,6.759,425986.0,0.0
18,16GB,52MB,0,0.9290900496740866,12288MB,4596.891361,6.961,413587.0,0.0
19,4GB,40MB,7,0.8621846194320923,8192MB,4772.914519,6.704,429514.0,0.0
20,2GB,16MB,0,0.8105034133315214,12288MB,4723.289214,6.775,425007.0,0.0
21,8GB,64MB,3,0.9092262974959799,4096MB,4538.956305,7.05,408496.0,0.0
22,8GB,52MB,3,0.9284619743713468,4096MB,4481.347362,7.141,403196.0,0.0
23,8GB,64MB,3,0.9431327277951961,4096MB,4764.131143,6.717,428674.0,0.0
24,2GB,56MB,1,0.8597958496996209,8192MB,4702.445444,6.805,423121.0,0.0
25,8GB,44MB,2,0.9023900437637693,4096MB,4845.86188,6.604,436037.0,0.0
26,4GB,32MB,2,0.8952705443497861,24576MB,4820.147981,6.639,433759.0,0.0
27,16GB,40MB,2,0.8426554781073717,8192MB,4782.892244,6.691,430398.0,0.0
28,2GB,44MB,2,0.7576269931682946,12288MB,4989.628277,6.413,449016.0,0.0
29,2GB,28MB,2,0.753986602553109,16384MB,4924.360404,6.498,443131.0,0.0
30,2GB,16MB,2,0.7513704119785863,16384MB,4829.385663,6.626,434567.0,0.0
31,2GB,28MB,2,0.756155041199466,12288MB,4876.788893,6.562,438818.0,0.0
32,2GB,28MB,2,0.7541395177303759,16384MB,4860.312484,6.584,437335.0,0.0
33,2GB,36MB,2,0.7255971692714082,12288MB,4863.875114,6.579,437628.0,0.0
34,2GB,20MB,2,0.7339787771191968,12288MB,4913.873653,6.512,442147.0,0.0
35,2GB,12MB,2,0.722925602261099,16384MB,4894.99653,6.537,440468.0,0.0
36,2GB,20MB,2,0.7054180562652523,16384MB,4829.880176,6.625,434592.0,0.0
37,4GB,12MB,2,0.727386079098165,24576MB,4929.404378,6.492,443617.0,0.0
38,4GB,20MB,2,0.7361051403367336,24576MB,4898.711891,6.532,440783.0,0.0
39,4GB,8MB,2,0.7752536083777091,20480MB,4828.230078,6.628,434457.0,0.0
40,4GB,28MB,2,0.7669934155600574,20480MB,4876.429754,6.562,438790.0,0.0
41,4GB,20MB,2,0.7343707598672768,24576MB,4895.642714,6.536,440491.0,0.0
42,4GB,20MB,2,0.7381815301074895,24576MB,4837.216318,6.615,435253.0,0.0
43,4GB,16MB,2,0.7161965946830857,24576MB,4936.328706,6.483,444278.0,0.0
44,4GB,12MB,5,0.7153443894048136,20480MB,4927.260615,6.494,443381.0,0.0
45,4GB,4MB,5,0.7134491954452904,20480MB,4855.123024,6.591,436840.0,0.0
46,4GB,12MB,5,0.7160155346409613,24576MB,4840.731282,6.611,435602.0,0.0
47,4GB,8MB,5,0.7937728251758653,20480MB,4956.126906,6.457,445968.0,0.0
48,4GB,8MB,5,0.8007706389632718,20480MB,4945.213303,6.471,444948.0,0.0
49,4GB,4MB,5,0.794296204310802,24576MB,4926.565468,6.495,443279.0,0.0
50,4GB,8MB,5,0.8231235261268338,20480MB,4898.503019,6.533,440778.0,0.0
51,4GB,12MB,5,0.7004578846084202,20480MB,4885.498301,6.55,439584.0,0.0
52,4GB,16MB,5,0.7939558778648487,20480MB,4929.664195,6.491,443623.0,0.0
53,4GB,16MB,5,0.7967645566994255,24576MB,4922.008707,6.501,442863.0,0.0
54,4GB,8MB,5,0.7698782017209129,20480MB,4838.208101,6.614,435330.0,0.0
55,16GB,4MB,1,0.7875750252176819,24576MB,4850.644049,6.597,436461.0,0.0
56,4GB,8MB,5,0.8283295667021123,20480MB,4907.517345,6.521,441562.0,0.0
57,4GB,12MB,5,0.8105615351890757,24576MB,4856.510846,6.589,436975.0,0.0
58,4GB,16MB,5,0.8030462575410486,20480MB,4935.254582,6.484,444074.0,0.0
59,4GB,24MB,5,0.8068640602408989,20480MB,4896.278906,6.536,440571.0,0.0
60,16GB,16MB,5,0.79852666105834,16384MB,4985.669684,6.418,448596.0,0.0
61,16GB,16MB,5,0.7974731954202537,16384MB,4935.588412,6.484,444074.0,0.0
62,16GB,16MB,5,0.7798441122448907,16384MB,4924.439185,6.498,443111.0,0.0
63,16GB,36MB,5,0.8328736014002706,16384MB,4818.267647,6.641,433536.0,0.0
64,16GB,44MB,7,0.8536747253845945,16384MB,4940.032177,6.478,444493.0,0.0
