trial,shared_buffers,work_mem,max_parallel_workers_per_gather,checkpoint_completion_target,effective_cache_size,tps,latency average,number of transactions actually processed,number of failed transactions
0,4GB,12MB,2,0.9812738571269783,20480MB,18154.716116,1.763,363091.0,0.0
0,4GB,40MB,3,0.7059695033457827,24576MB,17733.093138,1.805,354364.0,0.0
0,4GB,40MB,3,0.7059695033457827,8192MB,8832.027752,3.623,176510.0,0.0
1,2GB,12MB,5,0.7847219480752132,6144MB,5365.607176,5.964,107357.0,0.0
2,4GB,36MB,7,0.9800332895916222,8192MB,4035.551033,7.93,80661.0,0.0
3,8GB,32MB,3,0.7903962120659291,6144MB,7065.628021,4.529,141339.0,0.0
4,8GB,52MB,0,0.713115913784056,4096MB,6652.688932,4.81,133069.0,0.0
5,8GB,24MB,7,0.9239509830960306,4096MB,5866.292309,5.455,117289.0,0.0
6,4GB,48MB,5,0.7959604272072682,4096MB,5448.153893,5.874,109000.0,0.0
7,8GB,44MB,0,0.9235804821868226,6144MB,4966.458315,6.443,99242.0,0.0
8,2GB,8MB,5,0.8190110476803326,8192MB,4902.24269,6.528,98030.0,0.0
9,8GB,12MB,0,0.9588421095620936,6144MB,5039.805949,6.349,100757.0,0.0
10,4GB,56MB,3,0.7052089439282977,8192MB,4841.139292,6.61,96851.0,0.0
11,4GB,28MB,3,0.7401089420805878,6144MB,4957.739687,6.455,99113.0,0.0
12,8GB,64MB,3,0.8651419435022984,8192MB,5924.318282,5.401,118458.0,0.0
13,4GB,36MB,1,0.7575361803847185,6144MB,6384.774069,5.012,127686.0,0.0
14,2GB,24MB,2,0.8489996430700972,8192MB,7498.824948,4.267,149938.0,0.0
15,2GB,20MB,2,0.8709079069980435,8192MB,7631.749157,4.193,152565.0,0.0
16,2GB,20MB,2,0.8923878642974749,8192MB,7619.975648,4.199,152473.0,0.0
17,2GB,40MB,2,0.8867505126335977,8192MB,6968.240216,4.592,139355.0,0.0
18,4GB,4MB,1,0.8264023727459552,8192MB,6464.329065,4.95,129342.0,0.0
19,2GB,16MB,2,0.7565133205213034,8192MB,6293.629168,5.085,125884.0,0.0
20,2GB,28MB,2,0.9053055995678547,8192MB,9567.840234,3.345,191511.0,0.0
21,2GB,32MB,2,0.9214867445253073,8192MB,5174.713545,6.184,103552.0,0.0
22,2GB,24MB,2,0.8853650641708648,8192MB,6255.588686,5.115,125449.0,0.0
23,2GB,40MB,2,0.8506106889748747,8192MB,7817.036957,4.094,156346.0,0.0
24,2GB,44MB,3,0.8416785811522466,8192MB,9994.047223,3.202,199922.0,0.0
25,4GB,56MB,3,0.9469892670507172,6144MB,4973.409924,6.434,99510.0,0.0
26,2GB,44MB,3,0.8215493274819372,8192MB,7989.358125,4.005,159747.0,0.0
27,4GB,44MB,3,0.9891693078265035,8192MB,5382.117066,5.946,107675.0,0.0
28,2GB,64MB,3,0.9081593405945885,6144MB,8481.61901,3.773,169695.0,0.0
29,2GB,52MB,1,0.7324226597557455,6144MB,6183.788888,5.175,123749.0,0.0
30,4GB,28MB,7,0.7687216507731951,8192MB,4568.568145,7.004,91376.0,0.0
31,2GB,64MB,3,0.9128926399297991,6144MB,6705.53182,4.772,134071.0,0.0
32,2GB,60MB,3,0.9467938329412944,6144MB,6056.747434,5.283,121140.0,0.0
33,2GB,40MB,3,0.8993546665627968,6144MB,10159.916812,3.15,203217.0,0.0
34,2GB,40MB,3,0.8048941669455776,4096MB,7285.15956,4.392,145719.0,0.0
35,2GB,36MB,7,0.9411285233663603,6144MB,4582.599393,6.983,91649.0,0.0
36,4GB,48MB,5,0.9682970581288856,4096MB,7368.166848,4.343,147428.0,0.0
37,2GB,32MB,3,0.896971235074006,6144MB,4771.647818,6.706,95452.0,0.0
38,8GB,40MB,0,0.8682728963196062,8192MB,7119.805116,4.495,142463.0,0.0
39,2GB,48MB,5,0.7225635730940747,8192MB,4471.405222,7.157,89427.0,0.0
40,4GB,28MB,3,0.7904078960858811,6144MB,5521.015772,5.796,110429.0,0.0
41,2GB,36MB,3,0.9030831058512299,6144MB,8901.669084,3.595,178074.0,0.0
42,2GB,36MB,3,0.9364617968936524,6144MB,5608.448365,5.706,112239.0,0.0
43,2GB,44MB,3,0.9003908158729526,6144MB,8922.235258,3.587,178369.0,0.0
44,2GB,44MB,3,0.8377833834567441,4096MB,6112.559762,5.235,122276.0,0.0
45,2GB,48MB,3,0.8776307676919637,6144MB,10010.14913,3.197,200230.0,0.0
46,2GB,52MB,0,0.881967928425102,4096MB,7914.459202,4.043,158341.0,0.0
47,8GB,52MB,7,0.8584668805147949,6144MB,4797.752614,6.67,95971.0,0.0
48,2GB,48MB,3,0.8738428212951012,6144MB,8066.787796,3.967,161372.0,0.0
49,2GB,44MB,3,0.9180991444394302,4096MB,5439.25251,5.883,108843.0,0.0
50,2GB,56MB,1,0.8396814231960668,6144MB,9465.538161,3.381,189246.0,0.0
51,2GB,56MB,1,0.8111482575991764,6144MB,7506.488465,4.263,150200.0,0.0
52,2GB,48MB,1,0.8335055205420676,6144MB,5883.738185,5.439,117729.0,0.0
53,2GB,60MB,1,0.8583866317848597,6144MB,10818.180027,2.958,216339.0,0.0
54,2GB,60MB,1,0.8571454932545508,6144MB,9815.665773,3.26,196402.0,0.0
55,2GB,60MB,1,0.8566832195393586,6144MB,7049.103135,4.54,140990.0,0.0
56,8GB,60MB,1,0.8776603968467126,6144MB,5088.394373,6.289,101783.0,0.0
57,2GB,52MB,1,0.8593321046844447,6144MB,8309.446105,3.851,166214.0,0.0
58,2GB,32MB,1,0.8866676374361941,6144MB,5793.020989,5.524,115835.0,0.0
59,2GB,60MB,2,0.8313891242190383,6144MB,9769.197295,3.276,195377.0,0.0
60,2GB,60MB,5,0.8291748165895537,6144MB,7776.67627,4.115,155556.0,0.0
61,2GB,64MB,2,0.8442354630847602,6144MB,5153.28603,6.21,103101.0,0.0
62,2GB,56MB,2,0.8680866006492167,6144MB,9737.39669,3.286,194843.0,0.0
63,2GB,56MB,2,0.8117889699931429,6144MB,7674.536161,4.17,153524.0,0.0
64,2GB,60MB,2,0.8485974834309057,6144MB,5572.159607,5.743,111416.0,0.0
65,2GB,56MB,2,0.8669207917974767,6144MB,10530.049449,3.039,210543.0,0.0
66,2GB,64MB,0,0.8917683538002363,6144MB,8995.904465,3.557,179899.0,0.0
67,8GB,52MB,1,0.8603484830100246,6144MB,7296.218689,4.386,145928.0,0.0
68,2GB,60MB,2,0.8189505933380173,6144MB,5291.580129,6.047,105837.0,0.0
69,2GB,56MB,1,0.8509296491415174,6144MB,9536.89054,3.355,190723.0,0.0
70,2GB,40MB,7,0.8016359993665271,6144MB,7342.754967,4.358,146879.0,0.0
71,2GB,60MB,2,0.8685273486894936,6144MB,5265.518693,6.077,105310.0,0.0
72,2GB,52MB,2,0.8777789015562103,6144MB,9513.158783,3.364,190318.0,0.0
73,2GB,56MB,2,0.867665043309795,6144MB,7947.143289,4.027,158972.0,0.0
74,2GB,64MB,2,0.8431782359560288,6144MB,5242.588919,6.104,104912.0,0.0
75,2GB,48MB,2,0.8283706157873274,6144MB,9999.022913,3.2,200065.0,0.0
76,2GB,48MB,2,0.7757232089595368,6144MB,8273.931943,3.868,165527.0,0.0
77,2GB,48MB,3,0.83137598205228,6144MB,5933.816504,5.393,118681.0,0.0
78,2GB,40MB,5,0.820729471228761,6144MB,10863.963552,2.946,217299.0,0.0
79,2GB,40MB,5,0.8522291640796231,6144MB,9315.997018,3.435,186275.0,0.0
80,4GB,44MB,5,0.9302612948539254,6144MB,7625.358811,4.197,152529.0,0.0
